round,global_acc,manifest_cid,node_id,samples,loss,acc,claimed_acc,eval_acc,acc_diff,update_type,model_update_cid,metrics_cid,contrib_score,reward,balance,stake_penalty,stake,reputation,malicious_detected,committee,is_malicious,strategy
0,0.7709,Qm00000022,0,7682,0.353794,0.913330,0.9133,0.6505,0.2628,delta,Qm00000001,Qm00000002,0.7492,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7709,Qm00000022,1,6725,0.203877,0.944848,0.9448,0.3481,0.5967,delta,Qm00000003,Qm00000004,0.5000,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7709,Qm00000022,2,1321,0.339657,0.913550,0.9136,0.3898,0.5238,delta,Qm00000005,Qm00000006,0.3016,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7709,Qm00000022,3,9621,0.364600,0.899418,0.8994,0.6976,0.2018,delta,Qm00000007,Qm00000008,0.5000,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7709,Qm00000022,4,5106,0.288000,0.923267,0.9233,0.4726,0.4507,delta,Qm00000009,Qm00000010,0.5088,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7709,Qm00000022,5,4853,0.351210,0.901648,0.9016,0.5893,0.3123,delta,Qm00000011,Qm00000012,0.4171,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7709,Qm00000022,6,2291,0.498325,0.878045,0.8780,0.6148,0.2632,delta,Qm00000013,Qm00000014,0.1350,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7709,Qm00000022,7,11672,0.331173,0.907514,0.9075,0.6845,0.2230,delta,Qm00000015,Qm00000016,0.7307,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7709,Qm00000022,8,7419,0.294691,0.919585,0.9196,0.5953,0.3243,delta,Qm00000017,Qm00000018,0.9473,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7709,Qm00000022,9,3310,0.413947,0.891752,0.8918,0.4136,0.4782,delta,Qm00000019,Qm00000020,0.0396,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
1,0.8582,Qm00000044,0,7682,0.257085,0.933871,0.9339,0.6889,0.2450,delta,Qm00000023,Qm00000024,0.6358,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8582,Qm00000044,1,6725,0.154804,0.956476,0.9565,0.4206,0.5359,delta,Qm00000025,Qm00000026,0.5749,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8582,Qm00000044,2,1321,0.177078,0.953369,0.9534,0.5888,0.3646,delta,Qm00000027,Qm00000028,0.5000,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8582,Qm00000044,3,9621,0.273727,0.924166,0.9242,0.7333,0.1909,delta,Qm00000029,Qm00000030,0.5000,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8582,Qm00000044,4,5106,0.200323,0.945515,0.9455,0.5366,0.4089,delta,Qm00000031,Qm00000032,0.5243,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
