round,global_acc,manifest_cid,node_id,samples,loss,acc,claimed_acc,eval_acc,acc_diff,update_type,model_update_cid,metrics_cid,contrib_score,reward,balance,stake_penalty,stake,reputation,malicious_detected,committee,is_malicious,strategy
0,0.0006,Qm00000022,0,8911,0.316807,1.000000,1.0000,nan,nan,delta,Qm00000001,Qm00000002,0.8339,74.5680,74.5680,0.0000,174.5680,19.7787,0,1,1,signflip
0,0.0006,Qm00000022,1,8015,0.166308,0.720452,0.7205,nan,nan,delta,Qm00000003,Qm00000004,0.7000,42.7731,42.7731,0.0000,142.7731,19.4888,0,1,1,signflip
0,0.0006,Qm00000022,2,1887,0.362070,0.903621,0.9036,nan,nan,delta,Qm00000005,Qm00000006,0.0075,16.3673,16.3673,0.0000,116.3673,17.8256,1,1,0,none
0,0.0006,Qm00000022,3,9464,0.255902,0.933643,0.9336,nan,nan,delta,Qm00000007,Qm00000008,0.3914,27.9271,27.9271,0.0000,127.9271,18.7731,0,1,0,none
0,0.0006,Qm00000022,4,6453,0.299517,0.992576,0.9926,nan,nan,delta,Qm00000009,Qm00000010,0.8818,34.4057,34.4057,0.0000,134.4057,19.8788,0,1,1,signflip
0,0.0006,Qm00000022,5,5960,0.178975,0.957332,0.9573,nan,nan,delta,Qm00000011,Qm00000012,0.5005,24.9131,24.9131,0.0000,124.9131,19.0327,0,1,0,none
0,0.0006,Qm00000022,6,5035,0.259505,0.932023,0.9320,nan,nan,delta,Qm00000013,Qm00000014,0.4083,22.4967,22.4967,0.0000,122.4967,18.8137,0,1,0,none
0,0.0006,Qm00000022,7,3523,0.333131,0.911657,0.9117,nan,nan,delta,Qm00000015,Qm00000016,0.0420,16.7363,16.7363,0.0000,116.7363,17.9120,1,1,0,none
0,0.0006,Qm00000022,8,8288,0.288314,0.918513,0.9185,nan,nan,delta,Qm00000017,Qm00000018,0.2232,19.3555,19.3555,0.0000,119.3555,18.3625,0,1,0,none
0,0.0006,Qm00000022,9,2464,0.403099,0.898742,0.8987,nan,nan,delta,Qm00000019,Qm00000020,0.0000,16.0833,16.0833,0.0000,116.0833,17.8069,1,1,0,none
1,0.0009,Qm00000044,0,8911,0.431984,0.627954,0.6280,nan,nan,delta,Qm00000023,Qm00000024,0.7000,38.0911,112.6591,0.0000,212.6591,28.1143,0,1,1,signflip
1,0.0009,Qm00000044,1,8015,0.534479,0.642224,0.6422,nan,nan,delta,Qm00000025,Qm00000026,0.7000,36.2628,79.0359,0.0000,179.0359,27.8588,0,1,1,signflip
1,0.0009,Qm00000044,2,1887,1.365048,0.792987,0.7930,nan,nan,delta,Qm00000027,Qm00000028,0.0421,0.0000,16.3673,2.3273,114.0399,8.9128,1,1,0,none
1,0.0009,Qm00000044,3,9464,0.507703,0.895456,0.8955,nan,nan,delta,Qm00000029,Qm00000030,0.5059,28.6186,56.5457,0.0000,156.5457,26.7845,0,1,0,none
1,0.0009,Qm00000044,4,6453,0.556384,0.969081,0.9691,nan,nan,delta,Qm00000031,Qm00000032,0.9879,41.4343,75.8400,0.0000,175.8400,28.8073,0,1,1,signflip
1,0.0009,Qm00000044,5,5960,0.540086,0.909832,0.9098,nan,nan,delta,Qm00000033,Qm00000034,0.4994,29.6037,54.5168,0.0000,154.5168,26.9981,0,1,0,none
1,0.0009,Qm00000044,6,5035,0.626301,0.890950,0.8910,nan,nan,delta,Qm00000035,Qm00000036,0.4755,27.8894,50.3861,0.0000,150.3861,26.7488,0,1,0,none
1,0.0009,Qm00000044,7,3523,0.956517,0.822083,0.8221,nan,nan,delta,Qm00000037,Qm00000038,0.1145,18.1801,34.9163,0.0000,134.9163,25.0730,0,1,0,none
1,0.0009,Qm00000044,8,8288,0.565808,0.878994,0.8790,nan,nan,delta,Qm00000039,Qm00000040,0.4591,24.6900,44.0456,0.0000,144.0456,26.3122,0,1,0,none
1,0.0009,Qm00000044,9,2464,1.236105,0.773498,0.7735,nan,nan,delta,Qm00000041,Qm00000042,0.0095,0.0000,16.0833,2.3217,113.7616,8.9035,1,1,0,none
2,0.0012,Qm00000066,0,8911,1.500819,0.856634,0.8566,nan,nan,delta,Qm00000045,Qm00000046,1.0000,44.2098,156.8689,0.0000,256.8689,36.1085,0,1,1,signflip
2,0.0012,Qm00000066,1,8015,2.119127,0.807925,0.8079,nan,nan,delta,Qm00000047,Qm00000048,1.0000,41.3081,120.3440,0.0000,220.3440,35.8831,0,1,1,signflip
2,0.0012,Qm00000066,2,1887,8.301337,0.580445,0.5804,nan,nan,delta,Qm00000049,Qm00000050,0.0100,0.0000,16.3673,2.2808,111.7591,4.4564,1,1,0,none
2,0.0012,Qm00000066,3,9464,2.412797,0.806530,0.8065,nan,nan,delta,Qm00000051,Qm00000052,0.5036,30.8323,87.3780,0.0000,187.3780,33.8580,0,1,0,none
2,0.0012,Qm00000066,4,6453,4.134410,0.762904,0.7629,nan,nan,delta,Qm00000053,Qm00000054,0.7688,44.7446,120.5846,0.0000,220.5846,36.2418,0,1,1,signflip
2,0.0012,Qm00000066,5,5960,3.242388,0.807383,0.8074,nan,nan,delta,Qm00000055,Qm00000056,0.4411,31.9331,86.4498,0.0000,186.4498,33.8986,0,1,0,none
2,0.0012,Qm00000066,6,5035,2.676142,0.807739,0.8077,nan,nan,delta,Qm00000057,Qm00000058,0.5308,31.6732,82.0593,0.0000,182.0593,33.8902,0,1,0,none
2,0.0012,Qm00000066,7,3523,5.388788,0.647384,0.6474,nan,nan,delta,Qm00000059,Qm00000060,0.0017,0.0000,34.9163,2.6983,132.2180,12.5365,1,1,0,none
2,0.0012,Qm00000066,8,8288,2.460030,0.791240,0.7912,nan,nan,delta,Qm00000061,Qm00000062,0.4691,29.2137,73.2593,0.0000,173.2593,33.3600,0,1,0,none
2,0.0012,Qm00000066,9,2464,6.784914,0.546659,0.5467,nan,nan,delta,Qm00000063,Qm00000064,0.0196,0.0000,16.0833,2.2752,111.4864,4.4517,1,1,0,none
3,0.0014,Qm00000088,0,8911,16.709017,0.894946,0.8949,nan,nan,delta,Qm00000067,Qm00000068,0.9478,53.7570,210.6259,0.0000,310.6259,43.0795,0,1,1,signflip
3,0.0014,Qm00000088,1,8015,22.045030,0.801130,0.8011,nan,nan,delta,Qm00000069,Qm00000070,0.8728,52.5949,172.9390,0.0000,272.9390,42.7270,0,1,1,signflip
